explanation,label,input_size,avg_t,min_t,max_t,std_t,size_in_megabytes
random access to position 999702,rand_acc,999702,0.023945,0.020000,0.050000,0.005486,0.000000
random access to position 9935481,rand_acc,9935481,0.023727,0.020000,0.040000,0.004992,0.000000
random access to position 4265886,rand_acc,4265886,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 9604498,rand_acc,9604498,0.023484,0.020000,0.031000,0.004770,0.000000
random access to position 4564445,rand_acc,4564445,0.023484,0.020000,0.031000,0.004770,0.000000
random access to position 4555208,rand_acc,4555208,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 9443317,rand_acc,9443317,0.023570,0.020000,0.031000,0.004805,0.000000
random access to position 2252340,rand_acc,2252340,0.023398,0.020000,0.031000,0.004732,0.000000
random access to position 9017432,rand_acc,9017432,0.023789,0.020000,0.031000,0.004847,0.000000
random access to position 2942994,rand_acc,2942994,0.023406,0.020000,0.031000,0.004728,0.000000
random access to position 2772874,rand_acc,2772874,0.023320,0.020000,0.031000,0.004705,0.000000
random access to position 3617486,rand_acc,3617486,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 9601694,rand_acc,9601694,0.023406,0.020000,0.031000,0.004744,0.000000
random access to position 3318181,rand_acc,3318181,0.023484,0.020000,0.031000,0.004786,0.000000
random access to position 3523887,rand_acc,3523887,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 1211412,rand_acc,1211412,0.023648,0.020000,0.031000,0.004811,0.000000
random access to position 8013919,rand_acc,8013919,0.023320,0.020000,0.031000,0.004705,0.000000
random access to position 2016273,rand_acc,2016273,0.023492,0.020000,0.031000,0.004765,0.000000
random access to position 8584940,rand_acc,8584940,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 58889,rand_acc,58889,0.023805,0.020000,0.031000,0.004869,0.000000
random access to position 224352,rand_acc,224352,0.023648,0.020000,0.031000,0.004828,0.000000
random access to position 8983285,rand_acc,8983285,0.023789,0.020000,0.031000,0.004863,0.000000
random access to position 965021,rand_acc,965021,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 9943878,rand_acc,9943878,0.023727,0.020000,0.031000,0.004833,0.000000
random access to position 2901472,rand_acc,2901472,0.025516,0.020000,0.031000,0.005009,0.000000
random access to position 5773912,rand_acc,5773912,0.023625,0.020000,0.031000,0.004810,0.000000
random access to position 5992961,rand_acc,5992961,0.023625,0.020000,0.031000,0.004794,0.000000
random access to position 9073782,rand_acc,9073782,0.023633,0.020000,0.031000,0.004822,0.000000
random access to position 7295897,rand_acc,7295897,0.023312,0.020000,0.031000,0.004710,0.000000
random access to position 45541,rand_acc,45541,0.023414,0.020000,0.031000,0.004756,0.000000
random access to position 5895562,rand_acc,5895562,0.023406,0.020000,0.031000,0.004744,0.000000
random access to position 2649918,rand_acc,2649918,0.023328,0.020000,0.031000,0.004701,0.000000
random access to position 9823426,rand_acc,9823426,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 5082631,rand_acc,5082631,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 7512196,rand_acc,7512196,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 7733996,rand_acc,7733996,0.023648,0.020000,0.031000,0.004828,0.000000
random access to position 3916328,rand_acc,3916328,0.023492,0.020000,0.031000,0.004748,0.000000
random access to position 9529295,rand_acc,9529295,0.023641,0.020000,0.031000,0.004833,0.000000
random access to position 4444876,rand_acc,4444876,0.023633,0.020000,0.031000,0.004822,0.000000
random access to position 8922969,rand_acc,8922969,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 5973768,rand_acc,5973768,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 1154331,rand_acc,1154331,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 9571339,rand_acc,9571339,0.023406,0.020000,0.031000,0.004761,0.000000
random access to position 6117145,rand_acc,6117145,0.023648,0.020000,0.031000,0.004828,0.000000
random access to position 7373882,rand_acc,7373882,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 6820157,rand_acc,6820157,0.023414,0.020000,0.031000,0.004739,0.000000
random access to position 9859802,rand_acc,9859802,0.023484,0.020000,0.031000,0.004770,0.000000
random access to position 7907486,rand_acc,7907486,0.023547,0.020000,0.031000,0.004787,0.000000
random access to position 7915538,rand_acc,7915538,0.023484,0.020000,0.031000,0.004770,0.000000
random access to position 3370867,rand_acc,3370867,0.023406,0.020000,0.031000,0.004744,0.000000
random access to position 8172657,rand_acc,8172657,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 3959561,rand_acc,3959561,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 8050425,rand_acc,8050425,0.023406,0.020000,0.031000,0.004728,0.000000
random access to position 4703698,rand_acc,4703698,0.023633,0.020000,0.031000,0.004789,0.000000
random access to position 1148623,rand_acc,1148623,0.023406,0.020000,0.031000,0.004744,0.000000
random access to position 4835194,rand_acc,4835194,0.023719,0.020000,0.031000,0.004822,0.000000
random access to position 8026950,rand_acc,8026950,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 3952973,rand_acc,3952973,0.023328,0.020000,0.031000,0.004701,0.000000
random access to position 6387696,rand_acc,6387696,0.023336,0.020000,0.031000,0.004696,0.000000
random access to position 4317391,rand_acc,4317391,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 2005547,rand_acc,2005547,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 4959147,rand_acc,4959147,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 4942530,rand_acc,4942530,0.023320,0.020000,0.031000,0.004705,0.000000
random access to position 4739128,rand_acc,4739128,0.023734,0.020000,0.031000,0.004844,0.000000
random access to position 6167974,rand_acc,6167974,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 1724908,rand_acc,1724908,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 2569059,rand_acc,2569059,0.023625,0.020000,0.031000,0.004810,0.000000
random access to position 481046,rand_acc,481046,0.023492,0.020000,0.031000,0.004781,0.000000
random access to position 1573885,rand_acc,1573885,0.023406,0.020000,0.031000,0.004744,0.000000
random access to position 2830585,rand_acc,2830585,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 2003345,rand_acc,2003345,0.023492,0.020000,0.031000,0.004765,0.000000
random access to position 5164299,rand_acc,5164299,0.023484,0.020000,0.031000,0.004753,0.000000
random access to position 1288157,rand_acc,1288157,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 1300993,rand_acc,1300993,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 1212984,rand_acc,1212984,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 5457393,rand_acc,5457393,0.029586,0.020000,0.031000,0.002138,0.000000
random access to position 5031253,rand_acc,5031253,0.029430,0.020000,0.040000,0.002718,0.000000
random access to position 3277322,rand_acc,3277322,0.023719,0.020000,0.031000,0.004854,0.000000
random access to position 3899761,rand_acc,3899761,0.023547,0.020000,0.031000,0.004787,0.000000
random access to position 8320850,rand_acc,8320850,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 8242978,rand_acc,8242978,0.023641,0.020000,0.031000,0.004800,0.000000
random access to position 9102289,rand_acc,9102289,0.023406,0.020000,0.031000,0.004744,0.000000
random access to position 4430225,rand_acc,4430225,0.023406,0.020000,0.031000,0.004728,0.000000
random access to position 5788417,rand_acc,5788417,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 7141971,rand_acc,7141971,0.023328,0.020000,0.031000,0.004701,0.000000
random access to position 9895264,rand_acc,9895264,0.023492,0.020000,0.031000,0.004781,0.000000
random access to position 6231712,rand_acc,6231712,0.023562,0.020000,0.031000,0.004810,0.000000
random access to position 8470153,rand_acc,8470153,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 3673741,rand_acc,3673741,0.023539,0.020000,0.031000,0.004776,0.000000
random access to position 8249645,rand_acc,8249645,0.023570,0.020000,0.031000,0.004789,0.000000
random access to position 5015062,rand_acc,5015062,0.023492,0.020000,0.031000,0.004748,0.000000
random access to position 8494839,rand_acc,8494839,0.023711,0.020000,0.031000,0.004827,0.000000
random access to position 6213184,rand_acc,6213184,0.023328,0.020000,0.031000,0.004717,0.000000
random access to position 1745981,rand_acc,1745981,0.023641,0.020000,0.031000,0.004800,0.000000
random access to position 2319117,rand_acc,2319117,0.023570,0.020000,0.031000,0.004805,0.000000
random access to position 8156681,rand_acc,8156681,0.023555,0.020000,0.031000,0.004815,0.000000
random access to position 2451802,rand_acc,2451802,0.023711,0.020000,0.031000,0.004827,0.000000
random access to position 4483061,rand_acc,4483061,0.023562,0.020000,0.031000,0.004777,0.000000
random access to position 6896036,rand_acc,6896036,0.023625,0.020000,0.031000,0.004810,0.000000
random access to position 3111214,rand_acc,3111214,0.023562,0.020000,0.031000,0.004794,0.000000
random access to position 8674391,rand_acc,8674391,0.023406,0.020000,0.031000,0.004744,0.000000
random access to position 585,rand_acc,585,0.023633,0.020000,0.031000,0.004822,0.000000
random access to position 5666338,rand_acc,5666338,0.023406,0.020000,0.031000,0.004711,0.000000
random access to position 790447,rand_acc,790447,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 5031195,rand_acc,5031195,0.023422,0.020000,0.031000,0.004751,0.000000
random access to position 453033,rand_acc,453033,0.023633,0.020000,0.031000,0.004805,0.000000
random access to position 7128784,rand_acc,7128784,0.023727,0.020000,0.031000,0.004849,0.000000
random access to position 5394741,rand_acc,5394741,0.023648,0.020000,0.031000,0.004811,0.000000
random access to position 7427581,rand_acc,7427581,0.023547,0.020000,0.031000,0.004771,0.000000
random access to position 4097201,rand_acc,4097201,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 6374451,rand_acc,6374451,0.070367,0.020000,5.991000,0.525393,0.000000
random access to position 9795380,rand_acc,9795380,0.023492,0.020000,0.031000,0.004765,0.000000
random access to position 6033017,rand_acc,6033017,0.023711,0.020000,0.031000,0.004859,0.000000
random access to position 4861766,rand_acc,4861766,0.023336,0.020000,0.031000,0.004712,0.000000
random access to position 6163456,rand_acc,6163456,0.023477,0.020000,0.031000,0.004758,0.000000
random access to position 4146301,rand_acc,4146301,0.023570,0.020000,0.031000,0.004789,0.000000
random access to position 2135157,rand_acc,2135157,0.023641,0.020000,0.031000,0.004817,0.000000
random access to position 4641038,rand_acc,4641038,0.023328,0.020000,0.031000,0.004717,0.000000
random access to position 4186046,rand_acc,4186046,0.023719,0.020000,0.031000,0.004838,0.000000
random access to position 3269543,rand_acc,3269543,0.023711,0.020000,0.031000,0.004827,0.000000
random access to position 7737494,rand_acc,7737494,0.023555,0.020000,0.031000,0.004782,0.000000
random access to position 9178778,rand_acc,9178778,0.023656,0.020000,0.031000,0.004823,0.000000
