explanation,label,input_size,avg_t,min_t,max_t,std_t,size_in_megabytes
binary search,bs,100000,0.070511,0.063122,0.144253,0.008831,0.000000
sequential search,ls,100000,11.951809,11.775681,17.662175,0.758298,0.000000
binary search,bs,500000,0.077454,0.070270,0.156160,0.010576,0.000000
sequential search,ls,500000,59.437223,58.192405,80.472659,3.207166,0.000000
binary search,bs,1000000,0.080585,0.071966,0.172249,0.010718,0.000000
sequential search,ls,1000000,115.140794,112.380230,142.125061,4.682115,0.000000
binary search,bs,5000000,0.086258,0.080080,0.176433,0.011308,0.000000
sequential search,ls,5000000,717.324431,674.540419,857.090264,27.229373,0.000000
binary search,bs,10000000,0.089956,0.081541,0.180931,0.010835,0.000000
sequential search,ls,10000000,2029.830316,1812.549976,2369.685739,98.534779,0.000000
